,,,
Plant Name,State,Latitude,Longitude
Southside Generating Station,FL,30.316389,-81.648888
Hansel,FL,28.289436,-81.407908
Tom G Smith,FL,26.612767,-80.067700
Pilot Butte,WY,43.219017,-108.787681
Larsen Memorial,FL,28.049100,-81.923800
C D McIntosh Jr,FL,28.080100,-81.922900
W K Sanders,VT,44.625282,-72.530859
Smith Street,FL,29.021900,-80.964400
W E Swoope,FL,29.021900,-80.964400
Kerckhoff 2,CA,37.071846,-119.558008
Indian River Plant,FL,28.493232,-80.780124
St Cloud,FL,28.244700,-81.288100
Arvah B Hopkins,FL,30.452200,-84.400000
S O Purdom,FL,30.162304,-84.200673
J Woodruff,FL,30.708571,-84.863869
Medicine Bow,WY,41.835278,-106.242778
Marathon Generating Plant,FL,24.710833,-81.092700
Trenton North,MO,40.078600,-93.635000
Arkwright,GA,32.926944,-83.699444
Atkinson,GA,33.817500,-84.480278
Barnett Shoals,GA,33.839475,-83.309716
Bartletts Ferry,AL,32.663000,-85.090800
Bowen,GA,34.125600,-84.922200
Burton Dam,GA,34.793900,-83.540200
Flint River,GA,31.602600,-84.137000
Goat Rock,AL,32.609600,-85.079500
Hammond,GA,34.252800,-85.345600
Harllee Branch,GA,33.195000,-83.298300
Jack McDonough,GA,33.823900,-84.475800
Langdale,AL,32.813836,-85.167786
Lloyd Shoals,GA,33.320700,-83.841400
Toadtown,CA,39.893491,-121.593380
McManus,GA,31.213645,-81.546165
Morgan Falls,GA,33.968100,-84.384100
Nacoochee,GA,34.754900,-83.501200
North Highlands,GA,32.499400,-84.996500
Oliver Dam,GA,32.515500,-85.000400
Sinclair Dam,GA,33.140500,-83.201800
Tallulah Falls,GA,34.738800,-83.395600
Terrora,GA,34.765300,-83.416200
Tugalo,GA,34.714000,-83.352200
Mitchell (GA),GA,31.444728,-84.134696
Yates,GA,33.462200,-84.898600
Yonah,GA,34.682100,-83.341800
Boulevard,GA,32.041100,-81.145000
Kraft,GA,32.148600,-81.145800
Riverside (GA),GA,32.083611,-81.095555
Stevens Creek,GA,33.562644,-82.051242
Etiwanda,CA,34.103450,-117.525700
Dinner Lake,FL,27.492500,-81.435833
Phillips,FL,27.443900,-81.363300
Moccasin Low Head Hydro Project,CA,37.816447,-120.312033
Lake Blackshear Project,GA,31.847697,-83.941996
Crisp Plant,GA,31.844708,-83.940734
Hartwell Lake,GA,34.356400,-82.821900
Blue Ridge,GA,34.883889,-84.282222
Nottely,GA,34.959153,-84.087650
Buford,GA,34.162279,-84.077367
Allatoona,GA,34.163700,-84.728200
Walter F George,GA,31.624501,-85.065237
Ponca,OK,36.719790,-97.085758
Honolulu,HI,21.306800,-157.881900
Kahe,HI,21.356395,-158.128853
Waiau,HI,21.388997,-157.961518
Waimea,HI,20.025200,-155.695500
Kanoelehua,HI,19.705200,-155.062500
Puueo,HI,19.726400,-155.090800
W H Hill,HI,19.704100,-155.060700
Sullivan CR,WA,48.863333,-117.345277
Waiau Hydro,HI,19.720300,-155.118900
Sly Creek,CA,39.580413,-121.119479
Kingsley,NE,41.211400,-101.668100
East Barnet,VT,44.326335,-72.035894
Orca,AK,60.555889,-145.752983
Gem State,ID,43.420221,-112.101852
Canyon,TX,29.870560,-98.194733
Palaau Power Hybrid,HI,21.106000,-157.064700
Lewisville,TX,33.068473,-96.963806
Charles E Monty,ME,44.099461,-70.220851
Jarvis (Hinckley),NY,43.312100,-75.109000
American Falls,ID,42.777800,-112.876400
Bliss (ID),ID,42.913786,-115.070986
Brownlee,ID,44.836700,-116.897500
C J Strike,ID,42.944869,-115.977858
Cascade Dam (ID),ID,44.525600,-116.048300
Clear Lake,ID,42.667010,-114.780120
Lower Malad,ID,42.865783,-114.906172
Lower Salmon,ID,42.841608,-114.903611
Salmon Diesel,ID,45.183368,-113.885307
Shoshone Falls,ID,42.597500,-114.403300
Swan Falls,ID,43.243500,-116.379100
Thousand Springs,ID,42.740542,-114.836722
Twin Falls (ID),ID,42.589200,-114.355300
Upper Salmon A,ID,42.767422,-114.924692
Upper Malad,ID,42.864267,-114.885542
Ashton,ID,44.078630,-111.497326
Cove,ID,42.514444,-111.793055
Grace,ID,42.536750,-111.793967
Oneida,ID,42.267774,-111.748531
Soda,ID,42.644550,-111.696689
Cabinet Gorge,ID,48.084444,-116.053056
Post Falls,ID,47.703333,-116.953889
Scott Flat,CA,39.272108,-120.932508
Dworshak,ID,46.514300,-116.297700
